Step,Validation Loss,Optimizer,Architecture,Attention Type,Weight Tying,Attention Sink
0.0,8.130005359649658,ADAFACTOR,Dense,Full Context,Untied Weights,No Sink (Gated)
1.0,7.503970694541931,ADAFACTOR,Dense,Full Context,Untied Weights,No Sink (Gated)
2.0,6.983235621452332,ADAFACTOR,Dense,Full Context,Untied Weights,No Sink (Gated)
3.0,6.784577155113221,ADAFACTOR,Dense,Full Context,Untied Weights,No Sink (Gated)
4.0,6.684448599815369,ADAFACTOR,Dense,Full Context,Untied Weights,No Sink (Gated)
5.0,6.639694929122925,ADAFACTOR,Dense,Full Context,Untied Weights,No Sink (Gated)
6.0,6.597186803817749,ADAFACTOR,Dense,Full Context,Untied Weights,No Sink (Gated)
7.0,6.569159483909607,ADAFACTOR,Dense,Full Context,Untied Weights,No Sink (Gated)
8.0,6.569544506072998,ADAFACTOR,Dense,Full Context,Untied Weights,No Sink (Gated)
9.0,6.564869976043701,ADAFACTOR,Dense,Full Context,Untied Weights,No Sink (Gated)
0.0,8.043206930160522,ADAFACTOR,Dense,Sliding Window,Untied Weights,No Sink (Gated)
1.0,6.492440986633301,ADAFACTOR,Dense,Sliding Window,Untied Weights,No Sink (Gated)
2.0,6.366578197479248,ADAFACTOR,Dense,Sliding Window,Untied Weights,No Sink (Gated)
3.0,6.345562553405761,ADAFACTOR,Dense,Sliding Window,Untied Weights,No Sink (Gated)
4.0,6.347910451889038,ADAFACTOR,Dense,Sliding Window,Untied Weights,No Sink (Gated)
5.0,6.36746392250061,ADAFACTOR,Dense,Sliding Window,Untied Weights,No Sink (Gated)
6.0,6.325902938842773,ADAFACTOR,Dense,Sliding Window,Untied Weights,No Sink (Gated)
7.0,6.237571334838867,ADAFACTOR,Dense,Sliding Window,Untied Weights,No Sink (Gated)
8.0,6.171642804145813,ADAFACTOR,Dense,Sliding Window,Untied Weights,No Sink (Gated)
9.0,6.10602457523346,ADAFACTOR,Dense,Sliding Window,Untied Weights,No Sink (Gated)
10.0,6.05813581943512,ADAFACTOR,Dense,Sliding Window,Untied Weights,No Sink (Gated)
11.0,5.9707444190979,ADAFACTOR,Dense,Sliding Window,Untied Weights,No Sink (Gated)
12.0,5.932065176963806,ADAFACTOR,Dense,Sliding Window,Untied Weights,No Sink (Gated)
13.0,5.923629117012024,ADAFACTOR,Dense,Sliding Window,Untied Weights,No Sink (Gated)
14.0,5.907580113410949,ADAFACTOR,Dense,Sliding Window,Untied Weights,No Sink (Gated)
15.0,5.869414472579956,ADAFACTOR,Dense,Sliding Window,Untied Weights,No Sink (Gated)
16.0,5.861437916755676,ADAFACTOR,Dense,Sliding Window,Untied Weights,No Sink (Gated)
17.0,5.872026419639587,ADAFACTOR,Dense,Sliding Window,Untied Weights,No Sink (Gated)
18.0,5.853861832618714,ADAFACTOR,Dense,Sliding Window,Untied Weights,No Sink (Gated)
0.0,8.10654444694519,ADAFACTOR,Dense,Full Context,Untied Weights,No Sink (Gated)
1.0,6.636317729949951,ADAFACTOR,Dense,Full Context,Untied Weights,No Sink (Gated)
2.0,6.063418388366699,ADAFACTOR,Dense,Full Context,Untied Weights,No Sink (Gated)
3.0,5.779982113838196,ADAFACTOR,Dense,Full Context,Untied Weights,No Sink (Gated)
4.0,5.479731822013855,ADAFACTOR,Dense,Full Context,Untied Weights,No Sink (Gated)
5.0,5.33098452091217,ADAFACTOR,Dense,Full Context,Untied Weights,No Sink (Gated)
6.0,5.28801531791687,ADAFACTOR,Dense,Full Context,Untied Weights,No Sink (Gated)
7.0,5.244130301475525,ADAFACTOR,Dense,Full Context,Untied Weights,No Sink (Gated)
0.0,8.005525970458985,LION,Dense,Sliding Window,Tied Weights,Standard Attention
1.0,6.629721140861511,LION,Dense,Sliding Window,Tied Weights,Standard Attention
2.0,6.2139736890792845,LION,Dense,Sliding Window,Tied Weights,Standard Attention
3.0,5.985912179946899,LION,Dense,Sliding Window,Tied Weights,Standard Attention
4.0,5.84486141204834,LION,Dense,Sliding Window,Tied Weights,Standard Attention
5.0,5.836896228790283,LION,Dense,Sliding Window,Tied Weights,Standard Attention
6.0,5.876270437240601,LION,Dense,Sliding Window,Tied Weights,Standard Attention
7.0,5.856785368919373,LION,Dense,Sliding Window,Tied Weights,Standard Attention
8.0,5.856188583374023,LION,Dense,Sliding Window,Tied Weights,Standard Attention
9.0,5.912519645690918,LION,Dense,Sliding Window,Tied Weights,Standard Attention
0.0,8.136729621887207,LION,Dense,Full Context,Tied Weights,Standard Attention
1.0,6.693081879615784,LION,Dense,Full Context,Tied Weights,Standard Attention
2.0,6.470260834693908,LION,Dense,Full Context,Tied Weights,Standard Attention
3.0,6.418428254127503,LION,Dense,Full Context,Tied Weights,Standard Attention
4.0,6.35804283618927,LION,Dense,Full Context,Tied Weights,Standard Attention
5.0,6.310010886192321,LION,Dense,Full Context,Tied Weights,Standard Attention
6.0,6.3115540742874146,LION,Dense,Full Context,Tied Weights,Standard Attention
7.0,6.285594916343689,LION,Dense,Full Context,Tied Weights,Standard Attention
8.0,6.277067542076111,LION,Dense,Full Context,Tied Weights,Standard Attention
9.0,6.308576679229736,LION,Dense,Full Context,Tied Weights,Standard Attention
0.0,8.231606721878052,ADAFACTOR,Dense,Full Context,Untied Weights,Standard Attention
1.0,6.566161298751831,ADAFACTOR,Dense,Full Context,Untied Weights,Standard Attention
0.0,8.001676154136657,ADAMW,Dense,Full Context,Untied Weights,Standard Attention
1.0,6.393071150779724,ADAMW,Dense,Full Context,Untied Weights,Standard Attention
2.0,6.37930269241333,ADAMW,Dense,Full Context,Untied Weights,Standard Attention
3.0,6.374986171722412,ADAMW,Dense,Full Context,Untied Weights,Standard Attention
4.0,6.344625306129456,ADAMW,Dense,Full Context,Untied Weights,Standard Attention
5.0,6.148717999458313,ADAMW,Dense,Full Context,Untied Weights,Standard Attention
6.0,5.902866077423096,ADAMW,Dense,Full Context,Untied Weights,Standard Attention
7.0,5.741982102394104,ADAMW,Dense,Full Context,Untied Weights,Standard Attention
8.0,5.680508923530579,ADAMW,Dense,Full Context,Untied Weights,Standard Attention
9.0,5.668494057655335,ADAMW,Dense,Full Context,Untied Weights,Standard Attention
0.0,4.6283468246459964,LION,Dense,Full Context,Untied Weights,No Sink (Gated)
1.0,3.110029363632202,LION,Dense,Full Context,Untied Weights,No Sink (Gated)
2.0,3.0610785365104674,LION,Dense,Full Context,Untied Weights,No Sink (Gated)
3.0,3.0232669353485107,LION,Dense,Full Context,Untied Weights,No Sink (Gated)
4.0,2.9954457879066467,LION,Dense,Full Context,Untied Weights,No Sink (Gated)
5.0,2.9776138067245483,LION,Dense,Full Context,Untied Weights,No Sink (Gated)
6.0,2.9769009709358216,LION,Dense,Full Context,Untied Weights,No Sink (Gated)
0.0,8.144062614440918,ADAMW,Dense,Sliding Window,Untied Weights,No Sink (Gated)
1.0,6.404159808158875,ADAMW,Dense,Sliding Window,Untied Weights,No Sink (Gated)
2.0,6.363674354553223,ADAMW,Dense,Sliding Window,Untied Weights,No Sink (Gated)
3.0,5.825862550735474,ADAMW,Dense,Sliding Window,Untied Weights,No Sink (Gated)
4.0,5.469754934310913,ADAMW,Dense,Sliding Window,Untied Weights,No Sink (Gated)
5.0,5.374492979049682,ADAMW,Dense,Sliding Window,Untied Weights,No Sink (Gated)
6.0,5.337773704528809,ADAMW,Dense,Sliding Window,Untied Weights,No Sink (Gated)
7.0,5.268720245361328,ADAMW,Dense,Sliding Window,Untied Weights,No Sink (Gated)
0.0,8.16861958503723,ADAFACTOR,MoE,Full Context,Untied Weights,Standard Attention
1.0,6.804771423339844,ADAFACTOR,MoE,Full Context,Untied Weights,Standard Attention
2.0,6.4788978576660154,ADAFACTOR,MoE,Full Context,Untied Weights,Standard Attention
3.0,6.435969281196594,ADAFACTOR,MoE,Full Context,Untied Weights,Standard Attention
4.0,6.42781138420105,ADAFACTOR,MoE,Full Context,Untied Weights,Standard Attention
0.0,4.848733448982239,ADAFACTOR,MoE,Full Context,Untied Weights,No Sink (Gated)
1.0,3.109932708740234,ADAFACTOR,MoE,Full Context,Untied Weights,No Sink (Gated)
2.0,3.048572075366974,ADAFACTOR,MoE,Full Context,Untied Weights,No Sink (Gated)
3.0,2.956854057312012,ADAFACTOR,MoE,Full Context,Untied Weights,No Sink (Gated)
4.0,2.8711967706680297,ADAFACTOR,MoE,Full Context,Untied Weights,No Sink (Gated)
0.0,8.244903469085694,ADAMW,MoE,Full Context,Tied Weights,Standard Attention
1.0,6.883223009109497,ADAMW,MoE,Full Context,Tied Weights,Standard Attention
2.0,6.75868034362793,ADAMW,MoE,Full Context,Tied Weights,Standard Attention
3.0,6.348228883743286,ADAMW,MoE,Full Context,Tied Weights,Standard Attention
0.0,4.955947899818421,LION,Dense,Sliding Window,Tied Weights,No Sink (Gated)
1.0,3.013445234298706,LION,Dense,Sliding Window,Tied Weights,No Sink (Gated)
2.0,2.989412987232208,LION,Dense,Sliding Window,Tied Weights,No Sink (Gated)
3.0,2.9760868906974793,LION,Dense,Sliding Window,Tied Weights,No Sink (Gated)
4.0,2.9622129559516908,LION,Dense,Sliding Window,Tied Weights,No Sink (Gated)
5.0,2.885480356216431,LION,Dense,Sliding Window,Tied Weights,No Sink (Gated)
6.0,2.8513395309448244,LION,Dense,Sliding Window,Tied Weights,No Sink (Gated)
0.0,4.682876634597778,LION,Dense,Full Context,Tied Weights,Standard Attention
1.0,2.993492138385773,LION,Dense,Full Context,Tied Weights,Standard Attention
2.0,2.9821858763694764,LION,Dense,Full Context,Tied Weights,Standard Attention
3.0,2.980683946609497,LION,Dense,Full Context,Tied Weights,Standard Attention
4.0,2.9762362003326417,LION,Dense,Full Context,Tied Weights,Standard Attention
5.0,2.976582884788513,LION,Dense,Full Context,Tied Weights,Standard Attention
6.0,2.9724045634269713,LION,Dense,Full Context,Tied Weights,Standard Attention
