Architecture,VRAM (GB),Optimizer
Dense,0.157819648,ADAFACTOR
Dense,0.174230784,ADAFACTOR
Dense,0.175222528,ADAFACTOR
Dense,0.176311296,ADAFACTOR
Dense,0.166201088,ADAFACTOR
Dense,0.171146496,ADAFACTOR
Dense,0.168155904,ADAFACTOR
Dense,0.174811904,ADAFACTOR
Dense,0.172894208,ADAFACTOR
Dense,0.173254144,ADAFACTOR
Dense,0.081313536,ADAFACTOR
Dense,0.087386624,ADAFACTOR
Dense,0.089686528,ADAFACTOR
Dense,0.092721152,ADAFACTOR
Dense,0.096507904,ADAFACTOR
Dense,0.097060864,ADAFACTOR
Dense,0.097581568,ADAFACTOR
Dense,0.098925568,ADAFACTOR
Dense,0.099126784,ADAFACTOR
Dense,0.0924992,ADAFACTOR
Dense,0.094570496,ADAFACTOR
Dense,0.095171584,ADAFACTOR
Dense,0.090908672,ADAFACTOR
Dense,0.092735744,ADAFACTOR
Dense,0.09447936,ADAFACTOR
Dense,0.095034112,ADAFACTOR
Dense,0.095576576,ADAFACTOR
Dense,0.096801536,ADAFACTOR
Dense,0.09497728,ADAFACTOR
Dense,0.023595008,ADAFACTOR
Dense,0.02416512,ADAFACTOR
Dense,0.026217472,ADAFACTOR
Dense,0.025919232,ADAFACTOR
Dense,0.024655872,ADAFACTOR
Dense,0.025151488,ADAFACTOR
Dense,0.025846784,ADAFACTOR
Dense,0.02573184,ADAFACTOR
Dense,0.091775488,LION
Dense,0.096438528,LION
Dense,0.096891648,LION
Dense,0.102138368,LION
Dense,0.098393344,LION
Dense,0.101079552,LION
Dense,0.102669312,LION
Dense,0.102725888,LION
Dense,0.099264512,LION
Dense,0.100349696,LION
Dense,0.219463424,LION
Dense,0.224688128,LION
Dense,0.231984128,LION
Dense,0.248635648,LION
Dense,0.244670208,LION
Dense,0.239713792,LION
Dense,0.23536,LION
Dense,0.241141504,LION
Dense,0.256044544,LION
Dense,0.242385664,LION
Dense,0.036820736,ADAFACTOR
Dense,0.039700224,ADAFACTOR
Dense,0.172251392,ADAMW
Dense,0.186532352,ADAMW
Dense,0.189455104,ADAMW
Dense,0.182140928,ADAMW
Dense,0.187966464,ADAMW
Dense,0.189673728,ADAMW
Dense,0.18938368,ADAMW
Dense,0.194337024,ADAMW
Dense,0.20485632,ADAMW
Dense,0.20430976,ADAMW
Dense,0.14003712,LION
Dense,0.144057088,LION
Dense,0.149194496,LION
Dense,0.14855936,LION
Dense,0.15009024,LION
Dense,0.148848384,LION
Dense,0.144747008,LION
Dense,0.320286976,ADAMW
Dense,0.32179584,ADAMW
Dense,0.324705792,ADAMW
Dense,0.327316224,ADAMW
Dense,0.33468928,ADAMW
Dense,0.337448192,ADAMW
Dense,0.339394048,ADAMW
Dense,0.338263552,ADAMW
MoE,0.165454336,ADAFACTOR
MoE,0.170635264,ADAFACTOR
MoE,0.175972608,ADAFACTOR
MoE,0.184855552,ADAFACTOR
MoE,0.189005056,ADAFACTOR
MoE,0.129153024,ADAFACTOR
MoE,0.134839296,ADAFACTOR
MoE,0.138097664,ADAFACTOR
MoE,0.139651584,ADAFACTOR
MoE,0.138353152,ADAFACTOR
MoE,0.924406016,ADAMW
MoE,0.940817664,ADAMW
MoE,0.949624576,ADAMW
MoE,0.97718656,ADAMW
Dense,0.118503168,LION
Dense,0.12779904,LION
Dense,0.134832384,LION
Dense,0.132871936,LION
Dense,0.131236608,LION
Dense,0.142774272,LION
Dense,0.136150528,LION
Dense,0.30040064,LION
Dense,0.30716544,LION
Dense,0.312732928,LION
Dense,0.320386816,LION
Dense,0.32292864,LION
Dense,0.323952128,LION
Dense,0.333381632,LION
Dense,0.203348736,LION
Dense,0.21127424,LION
Dense,0.216830976,LION
Dense,0.213540352,LION
Dense,0.215661824,LION
Dense,0.226773248,LION
MoE,0.08557184,LION
MoE,0.086580736,LION
MoE,0.089872128,LION
MoE,0.088790016,LION
MoE,0.08823936,LION
MoE,0.092146432,LION
MoE,0.090407936,LION
MoE,0.094996992,LION
MoE,0.09548032,LION
MoE,0.095663872,LION
MoE,0.097637632,LION
MoE,0.26570368,LION
MoE,0.26836992,LION
MoE,0.269433088,LION
MoE,0.269849088,LION
MoE,0.274119936,LION
MoE,0.271347712,LION
MoE,0.503228416,LION
MoE,0.515789568,LION
MoE,0.529484544,LION
MoE,0.538363648,LION
MoE,0.530445824,LION
MoE,0.531164928,LION
MoE,0.531161856,LION
MoE,0.535509504,LION
MoE,0.536797952,LION
MoE,0.540711424,LION
MoE,0.54220928,LION
MoE,0.542916096,LION
MoE,0.54091008,LION
MoE,0.5318656,LION
MoE,0.536429568,LION
MoE,0.54128768,LION
MoE,0.538164224,LION
MoE,0.539794688,LION
MoE,0.536158208,LION
MoE,0.540236544,LION
MoE,0.54153728,LION
MoE,0.544165888,LION
MoE,0.542410496,LION
MoE,0.539537664,LION
MoE,0.160982016,ADAFACTOR
MoE,0.16944256,ADAFACTOR
MoE,0.17203584,ADAFACTOR
MoE,0.172179968,ADAFACTOR
MoE,0.172792832,ADAFACTOR
MoE,0.174102016,ADAFACTOR
MoE,0.177452288,ADAFACTOR
MoE,0.086246144,LION
MoE,0.088566272,LION
MoE,0.089782016,LION
MoE,0.089044992,LION
Dense,0.084006656,LION
Dense,0.088307456,LION
Dense,0.088071168,LION
Dense,0.093549056,LION
Dense,0.091969536,LION
MoE,0.338264064,LION
MoE,0.342290688,LION
MoE,0.34527872,LION
MoE,0.348105472,LION
MoE,0.34346496,LION
MoE,0.346775808,LION
MoE,0.342504448,LION
MoE,0.347310592,LION
MoE,0.347494912,LION
MoE,0.348700416,LION
MoE,0.347009536,LION
MoE,0.346770944,LION
Dense,0.157263104,LION
Dense,0.164572416,LION
Dense,0.16484352,LION
Dense,0.169071616,LION
Dense,0.16248192,LION
Dense,0.1648448,LION
Dense,0.227261952,LION
Dense,0.236270848,LION
Dense,0.232957696,LION
Dense,0.239450368,LION
Dense,0.234295552,LION
Dense,0.248467968,LION
Dense,0.042298112,LION
Dense,0.043774208,LION
Dense,0.045788672,LION
Dense,0.046866432,LION
Dense,0.047526912,LION
Dense,0.04799616,LION
Dense,0.049084672,LION
Dense,0.230431488,LION
Dense,0.239806208,LION
Dense,0.242134272,LION
Dense,0.238832384,LION
Dense,0.24109568,LION
MoE,0.135331328,LION
MoE,0.139226368,LION
MoE,0.139997696,LION
MoE,0.139603456,LION
MoE,0.139452416,LION
MoE,0.139485184,LION
MoE,0.139832064,LION
MoE,0.140416256,LION
MoE,0.141047552,LION
MoE,0.14183168,LION
MoE,0.141705216,LION
MoE,0.140967424,LION
MoE,0.14182016,LION
MoE,0.142190336,LION
Dense,0.045634048,LION
Dense,0.047172352,LION
Dense,0.047656192,LION
Dense,0.048680448,LION
Dense,0.204943872,LION
Dense,0.210919936,LION
Dense,0.21312,LION
Dense,0.215682816,LION
MoE,0.16623616,LION
MoE,0.170892032,LION
MoE,0.172393728,LION
MoE,0.1731264,LION
MoE,0.172800512,LION
MoE,0.243343104,LION
MoE,0.249460224,LION
MoE,0.254216448,LION
MoE,0.256640256,LION
MoE,0.258956288,LION
MoE,0.259192064,LION
MoE,0.266038784,LION
MoE,0.271212288,LION
MoE,0.2697792,LION
MoE,0.267707392,LION
MoE,0.26529152,LION
MoE,0.270165248,LION
MoE,0.268166656,LION
MoE,0.274045952,LION
MoE,0.264275968,LION
MoE,0.272273152,LION
MoE,0.26523904,LION
MoE,0.262833152,LION
MoE,0.266708736,LION
MoE,0.26549504,LION
MoE,0.270830336,LION
MoE,0.264650752,LION
MoE,0.266247168,LION
MoE,0.266909952,LION
Dense,0.13557248,LION
Dense,0.140049408,LION
Dense,0.143044864,LION
Dense,0.14243712,LION
Dense,0.14821888,LION
Dense,0.149213952,LION
Dense,0.150107136,LION
Dense,0.147716096,LION
Dense,0.148065536,LION
Dense,0.149947136,LION
MoE,0.45931008,ADAFACTOR
MoE,0.467671808,ADAFACTOR
MoE,0.468453376,ADAFACTOR
MoE,0.464446464,ADAFACTOR
MoE,0.46981248,ADAFACTOR
MoE,0.474021632,ADAFACTOR
MoE,0.474270976,ADAFACTOR
MoE,0.471073792,ADAFACTOR
MoE,0.471409408,ADAFACTOR
MoE,0.472864512,ADAFACTOR
MoE,0.473554432,ADAFACTOR
MoE,0.479467264,ADAFACTOR
MoE,0.47486592,ADAFACTOR
MoE,0.478825472,ADAFACTOR
MoE,0.485291776,ADAFACTOR
MoE,0.488118784,ADAFACTOR
MoE,0.489179648,ADAFACTOR
MoE,0.491778816,ADAFACTOR
MoE,0.495691264,ADAFACTOR
Dense,0.10178688,ADAFACTOR
Dense,0.104246016,ADAFACTOR
Dense,0.106069248,ADAFACTOR
Dense,0.106694912,ADAFACTOR
Dense,0.10867328,ADAFACTOR
Dense,0.108607744,ADAFACTOR
Dense,0.110251776,ADAFACTOR
Dense,0.109858816,ADAFACTOR
Dense,0.10871168,ADAFACTOR
Dense,0.114679296,ADAFACTOR
Dense,0.11220608,ADAFACTOR
Dense,0.115225344,ADAFACTOR
Dense,0.114140672,ADAFACTOR
Dense,0.115079936,ADAFACTOR
