group,label,attn_type,params_m,dim,n_heads,kv_heads,num_blocks,max_context,batch_size,prompt_len,dtype,use_cache,use_moe,n_experts,top_k_mlp,use_swiglu,pos_encoding,mla_down_kv,mla_rope_dim,prefill_ms_p50,prefill_ms_p95,decode_step_ms_p50,decode_step_ms_p95,decode_tok_s,kv_cache_mb,oom
attention_type,MHA,MHA,7.951,256,8,8,6,256,1,64,fp32,True,False,,,True,rope,,,10.421,10.644,11.081,11.3,90.24,3.146,False
attention_type,GQA-1/2,GQA(4/8),7.458,256,8,4,6,256,1,64,fp32,True,False,,,True,rope,,,10.693,62.348,10.946,65.314,91.36,1.573,False
attention_type,GQA-1/4,GQA(2/8),7.212,256,8,2,6,256,1,64,fp32,True,False,,,True,rope,,,10.62,10.741,10.906,11.001,91.69,0.786,False
attention_type,GQA-1/8,GQA(1/8),7.088,256,8,1,6,256,1,64,fp32,True,False,,,True,rope,,,10.66,12.973,10.856,10.91,92.12,0.393,False
attention_type,MLA-down64,MLA,7.991,256,8,8,6,256,1,64,fp32,True,False,,,True,rope,64.0,16.0,13.146,15.451,13.519,13.838,73.97,0.492,False
attention_type,MLA-down32,MLA,7.843,256,8,8,6,256,1,64,fp32,True,False,,,True,rope,32.0,16.0,12.844,13.102,13.638,13.976,73.32,0.295,False
attention_type,MLA-down128,MLA,8.287,256,8,8,6,256,1,64,fp32,True,False,,,True,rope,128.0,16.0,13.367,98.197,13.565,13.865,73.72,0.885,False
scale,tiny-~0.1M,MHA,0.368,64,4,4,2,256,1,64,fp32,True,False,,,True,rope,,,4.015,4.039,4.129,4.549,242.21,0.262,False
scale,small-~0.5M,MHA,1.29,128,4,4,3,256,1,64,fp32,True,False,,,True,rope,,,5.611,5.709,5.748,5.788,173.97,0.786,False
scale,medium-~3M,MHA,7.951,256,8,8,6,256,1,64,fp32,True,False,,,True,rope,,,11.272,13.153,10.764,10.893,92.9,3.146,False
scale,large-~25M,MHA,38.382,512,16,16,8,256,1,64,fp32,True,False,,,True,rope,,,15.239,132.368,15.632,15.811,63.97,8.389,False
scale,xlarge-~50M,MHA,76.501,512,16,16,16,256,1,64,fp32,True,False,,,True,rope,,,32.19,32.395,33.737,169.927,29.64,16.777,False
scale,xxlarge-~85M,MHA,125.901,768,12,12,12,256,1,64,fp32,True,False,,,True,rope,,,23.299,23.535,24.747,24.985,40.41,18.874,False
batch_size,bs=1,MHA,7.951,256,8,8,6,256,1,64,fp32,True,False,,,True,rope,,,11.31,11.418,11.766,11.816,84.99,3.146,False
batch_size,bs=4,MHA,7.951,256,8,8,6,256,4,64,fp32,True,False,,,True,rope,,,11.169,11.456,11.407,13.419,350.65,12.583,False
batch_size,bs=8,MHA,7.951,256,8,8,6,256,8,64,fp32,True,False,,,True,rope,,,11.207,11.314,10.946,11.014,730.89,25.166,False
batch_size,bs=16,MHA,7.951,256,8,8,6,256,16,64,fp32,True,False,,,True,rope,,,11.134,11.439,11.45,13.105,1397.39,50.332,False
batch_size,bs=32,MHA,7.951,256,8,8,6,256,32,64,fp32,True,False,,,True,rope,,,11.186,11.433,11.493,11.742,2784.21,100.663,False
batch_size,bs=64,MHA,7.951,256,8,8,6,256,64,64,fp32,True,False,,,True,rope,,,11.819,13.343,11.427,11.52,5600.95,201.327,False
batch_size,bs=128,MHA,7.951,256,8,8,6,256,128,64,fp32,True,False,,,True,rope,,,13.789,14.304,11.516,12.519,11114.99,402.653,False
context_len,ctx=64,MHA,7.564,256,8,8,6,64,1,32,fp32,True,False,,,True,rope,,,11.056,11.523,10.861,10.903,92.07,0.786,False
context_len,ctx=128,MHA,7.644,256,8,8,6,128,1,64,fp32,True,False,,,True,rope,,,10.925,11.082,10.987,11.259,91.02,1.573,False
context_len,ctx=256,MHA,7.951,256,8,8,6,256,1,128,fp32,True,False,,,True,rope,,,11.227,11.631,11.589,11.776,86.29,3.146,False
context_len,ctx=512,MHA,9.155,256,8,8,6,512,1,256,fp32,True,False,,,True,rope,,,11.017,11.252,11.337,11.77,88.2,6.291,False
context_len,ctx=1024,MHA,13.923,256,8,8,6,1024,1,512,fp32,True,False,,,True,rope,,,11.007,11.2,11.076,260.711,90.29,12.583,False
