[34m[1mwandb[0m: Detected [huggingface_hub.inference] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
Params: 36.32M | Est. VRAM: 1241.2MB
Step     0/2784 | Loss: 4.6282 | VRAM: 0.45GB
Step    50/2784 | Loss: 2.8120 | VRAM: 0.47GB
Step   100/2784 | Loss: 2.2748 | VRAM: 0.48GB
Step   150/2784 | Loss: 2.0221 | VRAM: 0.48GB
Step   200/2784 | Loss: 1.9475 | VRAM: 0.49GB
Step   250/2784 | Loss: 1.8326 | VRAM: 0.50GB
Step   300/2784 | Loss: 1.7585 | VRAM: 0.50GB
Step   350/2784 | Loss: 1.7067 | VRAM: 0.50GB
Step   400/2784 | Loss: 1.6959 | VRAM: 0.50GB
Step   450/2784 | Loss: 1.6522 | VRAM: 0.50GB
Step   500/2784 | Loss: 1.6458 | VRAM: 0.50GB
Step   550/2784 | Loss: 1.6358 | VRAM: 0.51GB
Step   600/2784 | Loss: 1.6366 | VRAM: 0.51GB
Step   650/2784 | Loss: 1.6154 | VRAM: 0.50GB
Step   700/2784 | Loss: 1.5996 | VRAM: 0.51GB
Step   750/2784 | Loss: 1.5947 | VRAM: 0.50GB
Step   800/2784 | Loss: 1.5458 | VRAM: 0.50GB
Step   850/2784 | Loss: 1.5573 | VRAM: 0.50GB
Step   900/2784 | Loss: 1.5758 | VRAM: 0.50GB
Step   950/2784 | Loss: 1.5675 | VRAM: 0.50GB
Step  1000/2784 | Loss: 1.5478 | VRAM: 0.51GB
Step  1050/2784 | Loss: 1.5843 | VRAM: 0.51GB
Step  1100/2784 | Loss: 1.5153 | VRAM: 0.50GB
Step  1150/2784 | Loss: 1.5348 | VRAM: 0.50GB
Step  1200/2784 | Loss: 1.5300 | VRAM: 0.51GB
Step  1250/2784 | Loss: 1.5549 | VRAM: 0.50GB
Step  1300/2784 | Loss: 1.5681 | VRAM: 0.51GB
Step  1350/2784 | Loss: 1.5322 | VRAM: 0.50GB
Step  1400/2784 | Loss: 1.5688 | VRAM: 0.50GB
Step  1450/2784 | Loss: 1.5734 | VRAM: 0.49GB
Step  1500/2784 | Loss: 1.5651 | VRAM: 0.50GB
Step  1550/2784 | Loss: 1.5510 | VRAM: 0.50GB
Step  1600/2784 | Loss: 1.5417 | VRAM: 0.50GB
Step  1650/2784 | Loss: 1.5716 | VRAM: 0.50GB
Step  1700/2784 | Loss: 1.5652 | VRAM: 0.50GB
Step  1750/2784 | Loss: 1.5572 | VRAM: 0.51GB
Step  1800/2784 | Loss: 1.5543 | VRAM: 0.51GB
Step  1850/2784 | Loss: 1.5757 | VRAM: 0.51GB
Step  1900/2784 | Loss: 1.6109 | VRAM: 0.51GB
Step  1950/2784 | Loss: 1.5948 | VRAM: 0.53GB
Step  2000/2784 | Loss: 1.5801 | VRAM: 0.52GB
Step  2050/2784 | Loss: 1.6322 | VRAM: 0.52GB
Step  2100/2784 | Loss: 1.5876 | VRAM: 0.52GB
Step  2150/2784 | Loss: 1.6467 | VRAM: 0.52GB
Step  2200/2784 | Loss: 1.6096 | VRAM: 0.50GB
Step  2250/2784 | Loss: 1.6234 | VRAM: 0.51GB
Step  2300/2784 | Loss: 1.6229 | VRAM: 0.51GB
Step  2350/2784 | Loss: 1.5925 | VRAM: 0.51GB
Step  2400/2784 | Loss: 1.6331 | VRAM: 0.51GB
Step  2450/2784 | Loss: 1.6369 | VRAM: 0.51GB
Step  2500/2784 | Loss: 1.6379 | VRAM: 0.51GB
Step  2550/2784 | Loss: 1.6152 | VRAM: 0.51GB
Step  2600/2784 | Loss: 1.6489 | VRAM: 0.51GB
Step  2650/2784 | Loss: 1.6709 | VRAM: 0.51GB
Step  2700/2784 | Loss: 1.6208 | VRAM: 0.51GB
Step  2750/2784 | Loss: 1.6388 | VRAM: 0.50GB
