[34m[1mwandb[0m: Detected [huggingface_hub.inference] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
Params: 36.32M | Est. VRAM: 1241.2MB
Step     0/1856 | Loss: 4.6397 | VRAM: 0.45GB
Step    50/1856 | Loss: 2.2121 | VRAM: 0.47GB
Step   100/1856 | Loss: 1.8829 | VRAM: 0.48GB
Step   150/1856 | Loss: 1.8047 | VRAM: 0.48GB
Step   200/1856 | Loss: 1.7373 | VRAM: 0.48GB
Step   250/1856 | Loss: 1.7175 | VRAM: 0.49GB
Step   300/1856 | Loss: 1.6733 | VRAM: 0.49GB
Step   350/1856 | Loss: 1.6721 | VRAM: 0.49GB
Step   400/1856 | Loss: 1.6851 | VRAM: 0.49GB
Step   450/1856 | Loss: 1.6625 | VRAM: 0.50GB
Step   500/1856 | Loss: 1.7071 | VRAM: 0.50GB
Step   550/1856 | Loss: 1.6797 | VRAM: 0.49GB
Step   600/1856 | Loss: 1.6978 | VRAM: 0.49GB
Step   650/1856 | Loss: 1.7396 | VRAM: 0.50GB
Step   700/1856 | Loss: 1.7206 | VRAM: 0.51GB
Step   750/1856 | Loss: 1.7810 | VRAM: 0.49GB
Step   800/1856 | Loss: 1.7225 | VRAM: 0.51GB
Step   850/1856 | Loss: 1.6601 | VRAM: 0.51GB
Step   900/1856 | Loss: 1.6667 | VRAM: 0.51GB
Step   950/1856 | Loss: 1.6641 | VRAM: 0.51GB
Step  1000/1856 | Loss: 1.6305 | VRAM: 0.51GB
Step  1050/1856 | Loss: 1.6397 | VRAM: 0.51GB
Step  1100/1856 | Loss: 1.6060 | VRAM: 0.50GB
Step  1150/1856 | Loss: 1.6002 | VRAM: 0.51GB
Step  1200/1856 | Loss: 1.5721 | VRAM: 0.51GB
Step  1250/1856 | Loss: 1.6163 | VRAM: 0.51GB
Step  1300/1856 | Loss: 1.5604 | VRAM: 0.53GB
Step  1350/1856 | Loss: 1.5408 | VRAM: 0.54GB
Step  1400/1856 | Loss: 1.5592 | VRAM: 0.52GB
Step  1450/1856 | Loss: 1.5447 | VRAM: 0.53GB
Step  1500/1856 | Loss: 1.5396 | VRAM: 0.53GB
Step  1550/1856 | Loss: 1.5292 | VRAM: 0.53GB
Step  1600/1856 | Loss: 1.5010 | VRAM: 0.52GB
Step  1650/1856 | Loss: 1.5137 | VRAM: 0.52GB
Step  1700/1856 | Loss: 1.5098 | VRAM: 0.53GB
Step  1750/1856 | Loss: 1.4994 | VRAM: 0.53GB
Step  1800/1856 | Loss: 1.4872 | VRAM: 0.53GB
Step  1850/1856 | Loss: 1.4872 | VRAM: 0.52GB
