[34m[1mwandb[0m: Detected [huggingface_hub.inference] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
Params: 24.24M | Est. VRAM: 634.62MB
Step     0/1856 | Loss: 4.5276 | VRAM: 0.11GB
Step    50/1856 | Loss: 3.1101 | VRAM: 0.11GB
Step   100/1856 | Loss: 2.7329 | VRAM: 0.11GB
Step   150/1856 | Loss: 2.5924 | VRAM: 0.11GB
Step   200/1856 | Loss: 2.4671 | VRAM: 0.11GB
Step   250/1856 | Loss: 2.4156 | VRAM: 0.11GB
Step   300/1856 | Loss: 2.3354 | VRAM: 0.11GB
Step   350/1856 | Loss: 2.2565 | VRAM: 0.11GB
Step   400/1856 | Loss: 2.1968 | VRAM: 0.11GB
Step   450/1856 | Loss: 2.1667 | VRAM: 0.11GB
Step   500/1856 | Loss: 2.1322 | VRAM: 0.11GB
Step   550/1856 | Loss: 2.0965 | VRAM: 0.11GB
Step   600/1856 | Loss: 2.0624 | VRAM: 0.11GB
Step   650/1856 | Loss: 2.0596 | VRAM: 0.11GB
Step   700/1856 | Loss: 2.0440 | VRAM: 0.11GB
Step   750/1856 | Loss: 2.0249 | VRAM: 0.11GB
Step   800/1856 | Loss: 1.9915 | VRAM: 0.11GB
Step   850/1856 | Loss: 1.9910 | VRAM: 0.11GB
Step   900/1856 | Loss: 1.9702 | VRAM: 0.11GB
Step   950/1856 | Loss: 1.9713 | VRAM: 0.11GB
Step  1000/1856 | Loss: 1.9560 | VRAM: 0.11GB
Step  1050/1856 | Loss: 1.9353 | VRAM: 0.11GB
Step  1100/1856 | Loss: 1.9180 | VRAM: 0.11GB
Step  1150/1856 | Loss: 1.9129 | VRAM: 0.11GB
Step  1200/1856 | Loss: 1.9134 | VRAM: 0.11GB
Step  1250/1856 | Loss: 1.9107 | VRAM: 0.11GB
Step  1300/1856 | Loss: 1.8899 | VRAM: 0.11GB
Step  1350/1856 | Loss: 1.8891 | VRAM: 0.11GB
Step  1400/1856 | Loss: 1.9110 | VRAM: 0.11GB
Step  1450/1856 | Loss: 1.8856 | VRAM: 0.11GB
Step  1500/1856 | Loss: 1.8841 | VRAM: 0.12GB
Step  1550/1856 | Loss: 1.8729 | VRAM: 0.12GB
Step  1600/1856 | Loss: 1.8773 | VRAM: 0.12GB
Step  1650/1856 | Loss: 1.8846 | VRAM: 0.12GB
Step  1700/1856 | Loss: 1.8958 | VRAM: 0.12GB
Step  1750/1856 | Loss: 1.8806 | VRAM: 0.12GB
Step  1800/1856 | Loss: 1.8695 | VRAM: 0.12GB
Step  1850/1856 | Loss: 1.8704 | VRAM: 0.12GB
